# Dataset Registry for current HK research data assets.
# Auto-generated from artifacts/metadata/current_assets/hk_current.json; prefer hk_current.json plus each asset manifest for source-of-truth freshness.
# Last updated: 2026-05-26
dataset_name,version,market,type,date_range,source,records,symbols,description,path
hk_current_contract,20260526,hk,metadata,as of 2026-05-26,local,22 assets,22,current HK asset contract with resolved aliases and manifest summaries,artifacts/metadata/current_assets/hk_current.json
hk_daily,20260526,hk,daily,2000-01-01 to 2026-05-26,rqdata,11044435,3195,current HK raw daily OHLCV asset,artifacts/assets/rqdata/hk/daily/hk_all_2000_20260526_daily_final_refetched_latest
hk_daily_clean,20260526,hk,daily_clean,2000-01-01 to 2026-05-26,derived,11044435,3195,current HK daily clean layer,artifacts/assets/rqdata/hk/daily/hk_all_2000_20260526_daily_clean_refetched_latest
hk_intraday,20260526,hk,intraday,2024-05-01 to 2026-05-26,rqdata,88395252,,current HK intraday 5m asset,artifacts/assets/rqdata/hk/intraday/intraday_20240501_20260526_20260526_231726
hk_tick_depth_raw,20260526,hk,tick_depth_raw,2025-04-01 to 2026-05-26,rqdata,445397450,2810,current HK raw 10-level tick depth snapshot asset,artifacts/assets/rqdata/hk/tick_depth/hk_tick_depth_20250401_20260526_current
hk_tick_depth_daily,20260526,hk,tick_depth_daily,2025-04-01 to 2026-05-26,derived,373518,2661,current HK daily aggregate derived from 10-level tick depth snapshots,artifacts/assets/rqdata/hk/tick_depth_daily/hk_tick_depth_daily_20250401_20260526_current
hk_execution_cost_model,20260526,hk,execution_cost_model,2025-04-01 to 2026-05-26,derived,2620,2620,current HK execution cost model calibrated from market microstructure assets,artifacts/assets/rqdata/hk/execution_cost/hk_execution_cost_model_20250401_20260526_baseline_v1
hk_etf_daily,20260508,hk,etf_daily,2000-01-01 to 2026-05-08,rqdata,631826,494,current HK ETF raw daily asset,artifacts/assets/rqdata/hk/daily/hk_etf_2000_20260508_daily_latest
hk_etf_daily_clean,20260508,hk,etf_daily_clean,2000-01-01 to 2026-05-08,derived,631826,494,current HK ETF daily clean layer,artifacts/assets/rqdata/hk/daily/hk_etf_2000_20260508_daily_clean_latest
hk_etf_instruments,20260526,hk,etf_instruments,as of 2026-05-26,rqdata,,,current HK ETF instrument master,artifacts/assets/rqdata/hk/instruments/hk_etf_instruments_20260526.parquet
hk_valuation,20260526,hk,valuation,2000-01-01 to 2026-05-26,rqdata,11085622,3195,current HK valuation factors,artifacts/assets/rqdata/hk/valuation/hk_all_2000_20260526_valuation_full_market_refetched_latest
hk_instruments,20260526,hk,instruments,as of 2026-05-26,rqdata,,,current HK instrument master,artifacts/assets/rqdata/hk/instruments/hk_all_instruments_20260526.parquet
hk_pit,20260526,hk,pit,as of 2026-05-26,rqdata,110904,3186,current HK PIT fundamentals asset,artifacts/assets/rqdata/hk/pit_financials/hk_all_2000_2026_full_market_asof_20260526_patch_2024q4_2026q1
hk_ex_factors,20260526,hk,ex_factors,2000-01-01 to 2026-05-26,rqdata,34575,2689,current HK ex-factor events,artifacts/assets/rqdata/hk/ex_factors/hk_all_2000_20260526_ex_factors_full_market_latest
hk_dividends,20260526,hk,dividends,2000-01-01 to 2026-05-26,rqdata,30311,2301,current HK dividend events,artifacts/assets/rqdata/hk/dividends/hk_all_2000_20260526_dividends_full_market_latest
hk_shares,20260526,hk,shares,2000-01-01 to 2026-05-26,rqdata,97682,3195,current HK share capital events,artifacts/assets/rqdata/hk/shares/hk_all_2000_20260526_shares_full_market_latest
hk_exchange_rate,20260522,hk,exchange_rate,2026-03-20 to 2026-05-22,rqdata,365,,current HK exchange-rate reference asset,artifacts/assets/rqdata/hk/exchange_rate/hk_exchange_rate_probe_20260320_20260522
hk_southbound,20260526,hk,southbound,2014-11-17 to 2026-05-26,rqdata,59624,338,current HK Connect southbound eligibility asset,artifacts/assets/rqdata/hk/southbound/hk_connect_southbound_20260526
hk_financial_details,20260526,hk,financial_details,as of 2026-05-26,rqdata,11586,365,current HK financial details asset,artifacts/assets/rqdata/hk/financial_details/hk_financial_details_hk_all3195_superset_2000_2026_20260526
hk_industry_changes,20260526,hk,industry_changes,2000-01-01 to 2026-05-26,rqdata,3737,3045,current HK industry membership changes,artifacts/assets/rqdata/hk/industry_changes/hk_all_2000_20260526_industry_changes_full_market_latest
hk_universe_by_date,20260526,hk,universe_by_date,,derived,,,current HK full-market universe by date,artifacts/assets/universe/hk_all_full_by_date.csv
hk_universe_symbols,20260526,hk,universe_symbols,,derived,,,current HK latest full-market universe symbols,artifacts/assets/universe/hk_all_full_symbols.txt
hk_universe_meta,20260526,hk,universe_meta,,derived,,,current HK universe build metadata,artifacts/assets/universe/hk_all_full_by_date.meta.yml
